step,gs0,gs1,gs2,
1429,961,959,959,
1430,962,957,959,
1431,962,957,959,
1432,962,957,960,
1433,963,959,960,
1434,963,959,960,
1435,962,959,959,
1436,962,959,959,
1437,963,959,959,
1438,963,959,959,
1439,963,959,959,
1440,963,959,959,
1441,963,958,959,
1442,963,958,959,
1443,963,959,959,
1444,963,959,959,
1445,963,959,959,
1446,963,959,959,
1447,963,959,959,
1448,963,959,959,
1449,963,959,959,
1450,963,959,959,
1451,963,959,959,
1452,963,959,959,
1453,963,959,959,
1454,963,959,959,
1455,962,959,960,
1456,962,959,960,
1457,962,959,960,
1458,962,959,960,
1459,962,959,959,
1460,962,959,959,
1461,962,959,960,
1462,962,959,960,
1463,962,960,960,
1464,962,960,960,
1465,961,959,960,
1466,961,959,960,
1467,960,959,959,
1468,960,959,959,
1469,961,959,960,
1470,961,959,960,
1471,962,959,961,
1472,962,959,961,
1473,962,959,959,
1474,962,959,959,
1475,960,959,959,
1476,960,959,959,
1477,962,959,960,
1478,962,959,960,
1479,961,959,960,
1480,961,959,960,
1481,961,959,961,
1482,961,959,961,
1483,962,959,960,
1484,962,959,960,
1485,962,959,961,
1486,962,959,961,
1487,960,959,961,
1488,960,959,961,
1489,961,959,961,
1490,961,959,961,
1491,960,959,961,
1492,961,959,961,
