step,gs0,gs1,gs2,
793,959,954,957,
794,959,954,957,
795,962,958,960,
796,962,958,960,
797,964,961,962,
798,964,961,962,
799,964,961,962,
800,964,961,962,
801,964,961,962,
802,964,961,962,
803,964,961,962,
804,964,961,962,
805,964,961,962,
806,964,961,962,
807,964,961,962,
808,963,961,962,
809,963,961,962,
810,964,960,962,
811,964,960,962,
812,964,961,961,
813,964,961,961,
814,964,961,962,
815,964,961,962,
816,963,961,962,
817,963,961,962,
818,963,960,962,
819,963,960,962,
820,963,960,962,
821,963,960,962,
822,963,961,961,
823,963,961,961,
824,963,960,961,
825,963,960,961,
826,963,960,962,
827,963,960,962,
828,963,960,962,
829,963,960,962,
830,963,960,962,
831,963,960,962,
832,963,960,961,
833,963,960,961,
834,961,958,959,
835,961,958,959,
836,953,951,952,
837,953,951,952,
838,943,938,943,
839,943,938,943,
840,946,939,944,
841,946,939,944,
842,955,953,955,
843,955,953,955,
844,963,960,962,
845,963,960,962,
846,963,960,962,
847,961,958,960,
848,961,958,960,
849,963,959,962,
850,963,959,962,
851,963,960,961,
852,963,960,961,
853,963,960,961,
854,963,960,961,
855,964,960,962,
856,964,960,962,
857,963,960,961,
858,963,960,961,
859,963,960,962,
860,963,960,962,
861,963,960,961,
862,963,960,961,
863,963,960,961,
864,963,960,961,
865,963,961,961,
866,963,961,961,
867,963,961,961,
868,963,961,961,
869,963,960,962,
870,963,960,962,
871,963,960,962,
872,963,960,962,
873,963,960,961,
874,963,960,961,
875,963,960,962,
876,963,960,962,
877,963,960,961,
878,963,960,961,
879,963,960,962,
880,963,960,962,
881,963,961,962,
882,963,961,962,
883,963,960,961,
884,963,961,961,
885,963,961,961,
886,963,960,962,
887,963,960,962,
888,963,960,961,
889,963,960,961,
890,963,960,962,
891,963,960,962,
892,963,960,961,
893,963,960,961,
894,963,960,962,
895,963,960,962,
896,963,959,962,
897,963,959,962,
898,963,959,961,
899,963,959,961,
900,962,959,961,
901,962,959,961,
902,962,959,961,
903,962,959,961,
904,963,960,962,
905,963,960,962,
906,961,958,960,
907,961,958,960,
908,962,959,961,
909,962,959,961,
910,962,959,961,
911,962,959,961,
912,962,959,961,
913,962,959,961,
914,962,958,961,
915,962,958,961,
916,962,959,961,
917,962,959,961,
918,962,958,961,
919,962,958,961,
920,962,959,960,
921,962,959,960,
922,962,959,961,
923,962,959,961,
924,962,959,961,
925,962,959,961,
926,962,959,961,
927,962,959,961,
928,962,959,961,
929,961,959,961,
930,961,959,961,
931,961,957,959,
932,961,957,959,
933,962,959,962,
934,962,959,962,
935,963,959,961,
936,963,959,961,
937,963,959,961,
938,963,959,961,
939,963,960,961,
940,963,960,961,
941,963,960,961,
942,963,960,961,
943,963,960,962,
944,963,960,962,
945,963,961,961,
946,963,961,961,
947,964,960,962,
948,964,960,962,
949,963,960,962,
950,963,960,962,
951,963,960,962,
952,963,960,962,
953,963,960,961,
954,963,960,961,
955,963,960,962,
956,963,960,962,
957,963,960,962,
958,963,960,962,
959,964,960,961,
960,964,960,961,
961,963,960,961,
962,963,960,961,
963,963,960,961,
964,963,960,961,
965,963,960,962,
966,963,961,961,
967,963,961,961,
968,963,960,961,
969,963,960,961,
970,962,959,962,
971,962,959,962,
972,959,956,956,
973,959,956,956,
974,952,947,949,
975,952,947,949,
976,939,931,942,
977,939,931,942,
978,939,932,941,
979,939,932,941,
980,951,947,950,
981,951,947,950,
982,963,957,960,
983,963,957,960,
984,963,960,962,
985,963,960,962,
986,963,959,961,
987,963,959,961,
988,962,958,960,
989,962,958,960,
990,963,960,961,
991,963,960,961,
992,963,960,961,
993,963,960,961,
994,963,960,961,
995,963,960,961,
996,963,960,961,
997,963,960,961,
998,963,960,962,
999,963,960,962,
1000,963,960,961,
1001,963,960,961,
1002,963,960,962,
1003,963,960,962,
1004,964,960,962,
